shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
SHP-R5-D0,42.0007,21.43625,10,5371.5
SHP-R5-D0,41.9995,21.4345,11,5568.3
SHP-R5-D0,41.9966,21.43345,12,5902.2
SHP-R5-D0,41.9947,21.4314,13,6173.0
SHP-R5-D0,41.98635,21.43175,14,7102.0
SHP-R5-D0,41.977,21.4331,15,8147.6
SHP-R5-D0,41.9748,21.4303,16,8484.4
SHP-R5-D0,41.9736,21.4265,17,8825.7
SHP-R5-D0,41.9722,21.433,18,9385.1
SHP-R5-D0,41.9698,21.4405,19,10060.2
SHP-R5-D1,41.9698,21.4405,1,0.0
SHP-R5-D1,41.9722,21.433,2,675.0
SHP-R5-D1,41.9736,21.4265,3,1234.5
SHP-R5-D1,41.9748,21.4303,4,1575.8
SHP-R5-D1,41.977,21.4331,5,1912.6
SHP-R5-D1,41.98635,21.43175,6,2958.2
SHP-R5-D1,41.9947,21.4314,7,3887.1
SHP-R5-D1,41.9966,21.43345,8,4157.9
SHP-R5-D1,41.9995,21.4345,9,4491.9
SHP-R5-D1,42.0007,21.43625,10,4688.6
SHP-R5-D1,42.0009,21.439,11,4917.0
SHP-R5-D1,42.0059,21.4391,12,5473.0
SHP-R5-D1,42.0119,21.4382,13,6144.3
SHP-R5-D1,42.01155,21.444,14,6625.1
SHP-R5-D1,42.0102,21.4508,15,7206.6
SHP-R5-D1,42.01425,21.45475,16,7762.7
SHP-R5-D1,42.0193,21.4577,17,8374.9
SHP-R5-D1,42.0266,21.4527,18,9285.6
SHP-R5-D1,42.0329,21.4487,19,10060.2
SHP-R15-D0,42.006,21.4188,1,0.0
SHP-R15-D0,42.003,21.42005,2,349.2
SHP-R15-D0,41.999,21.4223,3,831.3
SHP-R15-D0,41.9961,21.4238,4,1176.8
SHP-R15-D0,41.9942,21.4243,5,1392.0
SHP-R15-D0,41.99495,21.42735,6,1657.5
SHP-R15-D0,41.9947,21.4314,7,1993.4
SHP-R15-D0,41.99375,21.43385,8,2221.7
SHP-R15-D0,41.9938,21.4353,9,2341.7
SHP-R15-D0,41.99955,21.44015,10,3096.3
SHP-R15-D0,42.0043,21.446,11,3812.3
SHP-R15-D0,42.00675,21.4489,12,4175.1
SHP-R15-D0,42.0102,21.4508,13,4589.6
SHP-R15-D1,42.0102,21.4508,1,0.0
SHP-R15-D1,42.00775,21.4479,2,362.8
SHP-R15-D1,42.0043,21.446,3,777.3
SHP-R15-D1,41.99855,21.44115,4,1531.9
SHP-R15-D1,41.9938,21.4353,5,2247.9
SHP-R15-D1,41.99475,21.43285,6,2476.3
SHP-R15-D1,41.9947,21.4314,7,2596.2
SHP-R15-D1,41.99395,21.42835,8,2861.7
SHP-R15-D1,41.9942,21.4243,9,3197.6
SHP-R15-D1,41.9971,21.4228,10,3543.1
SHP-R15-D1,41.999,21.4223,11,3758.3
SHP-R15-D1,42.002,21.42105,12,4107.5
SHP-R15-D1,42.006,21.4188,13,4589.6
SHP-R22-D0,41.9878,21.4189,1,0.0
SHP-R22-D0,41.9895,21.4208,2,245.7
SHP-R22-D0,41.9902,21.4237,3,497.7
SHP-R22-D0,41.98915,21.42685,4,783.1
SHP-R22-D0,41.9891,21.429,5,960.8
SHP-R22-D0,41.9911,21.43425,6,1448.4
SHP-R22-D0,41.9921,21.4405,7,1976.8
SHP-R22-D0,41.9884,21.44315,8,2442.9
SHP-R22-D0,41.9857,21.4448,9,2772.6
SHP-R22-D0,41.99025,21.43955,10,3439.1
SHP-R22-D0,41.9938,21.4353,11,3967.5
SHP-R22-D0,41.99855,21.44115,12,4683.5
SHP-R22-D0,42.0043,21.446,13,5438.1
SHP-R22-D0,42.0123,21.45135,14,6431.5
SHP-R22-D0,42.0193,21.4577,15,7370.1
SHP-R22-D1,42.0193,21.4577,1,0.0
SHP-R22-D1,42.0123,21.45135,2,938.6
SHP-R22-D1,42.0043,21.446,3,1932.0
SHP-R22-D1,41.99855,21.44115,4,2686.6
SHP-R22-D1,41.9938,21.4353,5,3402.6
SHP-R22-D1,41.99025,21.43955,6,3931.0
SHP-R22-D1,41.9857,21.4448,7,4597.5
SHP-R22-D1,41.9884,21.44315,8,4927.2
SHP-R22-D1,41.9921,21.4405,9,5393.3
SHP-R22-D1,41.9911,21.43425,10,5921.7
SHP-R22-D1,41.9891,21.429,11,6409.3
SHP-R22-D1,41.98915,21.42685,12,6587.0
SHP-R22-D1,41.9902,21.4237,13,6872.4
SHP-R22-D1,41.9895,21.4208,14,7124.4
SHP-R22-D1,41.9878,21.4189,15,7370.1
SHP-R24-D0,41.9698,21.4405,1,0.0
SHP-R24-D0,41.9739,21.4363,2,573.1
SHP-R24-D0,41.977,21.4331,3,1007.6
SHP-R24-D0,41.98405,21.4373,4,1864.9
SHP-R24-D0,41.9921,21.4405,5,2798.3
SHP-R24-D0,41.9894,21.44215,6,3128.0
SHP-R24-D0,41.9857,21.4448,7,3594.1
SHP-R24-D0,41.982,21.4542,8,4473.3
SHP-R24-D0,41.9793,21.4626,9,5229.8
SHP-R24-D0,41.9738,21.4656,10,5889.7
SHP-R24-D0,41.9673,21.4696,11,6684.5
SHP-R24-D0,41.9566,21.4839,12,8361.9
SHP-R24-D0,41.9469,21.4972,13,9902.4
SHP-R24-D1,41.9469,21.4972,1,0.0
SHP-R24-D1,41.9576,21.4829,2,1677.5
SHP-R24-D1,41.9673,21.4696,3,3217.8
SHP-R24-D1,41.9728,21.4666,4,3877.8
SHP-R24-D1,41.9793,21.4626,5,4672.6
SHP-R24-D1,41.983,21.4532,6,5551.8
SHP-R24-D1,41.9857,21.4448,7,6308.2
SHP-R24-D1,41.9884,21.44315,8,6638.0
SHP-R24-D1,41.9921,21.4405,9,7104.1
SHP-R24-D1,41.98505,21.4363,10,7961.4
SHP-R24-D1,41.977,21.4331,11,8894.8
SHP-R24-D1,41.9729,21.4373,12,9467.8
SHP-R24-D1,41.9698,21.4405,13,9902.4
